ticker,value_score,quality_score,momentum_score,profitability_score,composite_score,composite_rank_pct,sector
AAPL,-1.21009413584469,-0.10260734530652085,-0.12535954354033146,1.08919275464307,-0.202181412036506,25.0,Technology
ABBV,-0.7332477957240222,-1.0046044719212233,-0.10882718657471774,-0.013767176357634081,-0.5010856886127187,2.083333333333333,Healthcare
ABT,0.5488765441879163,0.23431328069171786,-0.12248510363391475,-0.546294340345259,0.08336113945177386,68.75,Healthcare
ACN,1.1225084140714447,0.33919090994120443,-0.12010385131025225,-0.5211159212665588,0.28730110462585967,93.75,Technology
ADBE,0.8797667523014938,-0.31771030609030604,-0.8825383950867002,1.041229090806055,0.17211366855740762,79.16666666666666,Technology
AMGN,0.043255537218761686,-1.4868043202890922,-0.8048808149235596,0.5822256011811935,-0.4434995024012957,6.25,Healthcare
AMZN,0.29867707886714495,0.09016022891109488,-0.043404907769505285,-0.5182895378532958,-0.0023659536251182806,52.083333333333336,Consumer Cyclical
AVGO,-2.0166712906783326,0.9530038493984063,-0.09015796040799236,0.8712928435455345,-0.2150313462467893,20.833333333333336,Technology
BRK-B,0.9544445306429737,1.5679810776484975,0.4061911514123864,-0.7135232372946431,0.6371717689991845,97.91666666666666,Financial Services
CAT,-1.393316640962468,-0.4162649833638621,0.6422254176968447,-0.4119452229905384,-0.44389392830360236,4.166666666666666,Industrials
COST,-0.9605760440985494,-0.02884369145390256,0.49836481662811843,-0.9856092206029027,-0.36791437605659133,10.416666666666668,Consumer Defensive
CRM,0.8404578326084176,-0.5212032950909586,0.3691295704697172,-0.14121510121856967,0.185875898383501,83.33333333333334,Technology
CSCO,-0.6836225053633713,-0.1862844620239157,0.26298988270292256,-0.09709909928596284,-0.2053302162964522,22.916666666666664,Technology
CVX,0.7294398321376041,0.12599801834854302,-0.21524085767916093,-0.9808704379112599,0.00034715222637474175,54.166666666666664,Energy
DHR,0.19591776887537854,0.7626557633634579,-0.7212188220335721,-0.45773919393256,-0.02241327279142702,47.91666666666667,Healthcare
GOOGL,-0.38457061894745836,0.8744847080403456,-0.7273034575037917,0.6416878034510045,0.0497616876401019,64.58333333333334,Communication Services
GS,0.5676983824671695,-1.2750245433755516,1.2268291636923776,0.13456597750840663,0.1851738653210387,81.25,Financial Services
HD,0.10778474500495981,-1.5421528226971366,0.4879632135287781,0.02885905467849681,-0.2254401678549023,18.75,Consumer Cyclical
HON,-0.04860082729573624,-0.4871547918232195,-0.23055229615057934,-0.5873146282214773,-0.31146994582646603,12.5,Industrials
